Problem,bisectType,NumSolutions,numBisection,numLP,numK,numIa,numSingleKill,numDoubleKill,totalLPTime,totalKTime,totalIaTime,avgLPTime,avgKTime,avgIaTime,Run_0,UseLp,,,
schmitt_lcMosfet_input_voltage_0.9,bisectMax,3,115,0,136,231,0,0,0,0.410357237,0.268975258,0,0.003017333,0,0.694001198,FALSE,,,
Problem,bisectType,NumSolutions,numBisection,numLP,numK,numIa,numSingleKill,numDoubleKill,totalLPTime,totalKTime,totalIaTime,avgLPTime,avgKTime,avgIaTime,Run_0,UseLp,,,
schmitt_lcMosfet_input_voltage_1.8,bisectMax,1,32,0,35,65,0,0,0,0.119691849,0.085392952,0,0.003419767,0,0.20955801,FALSE,,,
Problem,bisectType,NumSolutions,numBisection,numLP,numK,numIa,numSingleKill,numDoubleKill,totalLPTime,totalKTime,totalIaTime,avgLPTime,avgKTime,avgIaTime,Run_0,UseLp,,,
schmitt_scMosfet_input_voltage_0.0,bisectMax,1,70,0,75,141,0,0,0,0.339152813,0.152361631,0,0.004522038,0,0.508637905,FALSE,,,
Problem,bisectType,NumSolutions,numBisection,numLP,numK,numIa,numSingleKill,numDoubleKill,totalLPTime,totalKTime,totalIaTime,avgLPTime,avgKTime,avgIaTime,Run_0,UseLp,,,
schmitt_scMosfet_input_voltage_0.5,bisectMax,3,285,0,302,569,0,0,0,1.265556097,0.561112642,0,0.004190583,0,1.868968964,FALSE,,,
Problem,bisectType,NumSolutions,numBisection,numLP,numK,numIa,numSingleKill,numDoubleKill,totalLPTime,totalKTime,totalIaTime,avgLPTime,avgKTime,avgIaTime,Run_0,UseLp,,,
schmitt_scMosfet_input_voltage_1.0,bisectMax,1,67,0,72,135,0,0,0,0.319757462,0.136347055,0,0.004441076,0,0.467950106,FALSE,,,
Problem,bisectType,kAlpha,epsilonInflation,NumSolutions,numBisection,numLP,numK,numIa,numSingleKill,numDoubleKill,totalLPTime,totalKTime,totalIaTime,avgLPTime,avgKTime,avgIaTime,Run_0,AverageRun,UseLp
rambus_tanh_stgs_6_gcc_4.0,bisectMax,1,0.001,729,486119,0,507895,972235,0,0,0,1178.797809,897.5544653,0,0.002320948,0.000923187,3453.200994,3453.200994,FALSE
Problem,bisectType,kAlpha,epsilonInflation,NumSolutions,numBisection,numLP,numK,numIa,numSingleKill,numDoubleKill,totalLPTime,totalKTime,totalIaTime,avgLPTime,avgKTime,avgIaTime,Run_0,AverageRun,UseLp
rambus_tanh_stgs_6_gcc_0.5,bisectMax,1,0.001,3,570503,0,584907,1141007,0,0,0,1339.316932,1042.286137,0,0.002289795,0.000913479,2424.539061,2424.539061,FALSE
Problem,bisectType,kAlpha,epsilonInflation,NumSolutions,numBisection,numLP,numK,numIa,numSingleKill,numDoubleKill,totalLPTime,totalKTime,totalIaTime,avgLPTime,avgKTime,avgIaTime,Run_0,AverageRun,UseLp
rambus_lcMosfet_stgs_6_gcc_4.0,bisectMax,1,0.001,729,139149,0,166653,278236,0,0,0,1609.5987,874.5346749,0,0.009658384,0.00314314,2931.397246,2931.397246,FALSE
Problem,bisectType,kAlpha,epsilonInflation,NumSolutions,numBisection,numLP,numK,numIa,numSingleKill,numDoubleKill,totalLPTime,totalKTime,totalIaTime,avgLPTime,avgKTime,avgIaTime,Run_0,AverageRun,UseLp
rambus_lcMosfet_stgs_6_gcc_0.5,bisectMax,1,0.001,3,986510,0,1147224,1973021,0,0,0,11205.27219,6767.661573,0,0.009767292,0.003430101,18021.26095,18021.26095,FALSE
